question,answer
"Ж.-Ж.Руссо утверждает, что вслед за появлением имущественного неравенства идут беззаконие и беды, которые делают людей злыми.",Да
"Особенность подхода Жана Бодрийяра к потреблению в современной культуре в том, что оно обеспечивает удовлетворение потребностей отдельного человека.",Нет
"Ж.Бодрийяр утверждает, что реальный предмет повседневного опыта не имеет значения в современной культуре.",Да
"В анализе Ж.Бодрийяра выясняется, что подарок как символический предмет выражает собой положительное, эмоционально-позитивное отношение человека к человеку.",Нет
"По Ж.Бодрийяру, можно говорить о том, что знаки сами обмениваются друг с другом без участия человека.",Да
"Ж.Бодрийяр утверждает, что предмет потребления должен обязательно сохранять свою функцию, характеристики, влияющие на его использование человеком.",Да
"Ж.Бодрийяр делает вывод, что предмет потребления в современной культуре существует отдельно от общества в неком собственном мире знаков.",Нет
"Выясняя различие наук о природе и наук о культуре, Г. Риккерт вначале указывает на основной принцип их разделения, а потом объясняет различие в предметах этих наук.",Нет
"Особенность ценностей, по Г. Риккерту, в том, что мы не можем сказать, существуют они или нет, а только – имеют они значение или не имеют.",Нет
"Согласно Г.Риккерту, между природой и культурой существует связь – это воспринимающее ценности психическое существо.",Да
"По Г.Риккерту, основное смысл выражения ""духовные ценности"" заложен в понимании того, что они духовные.",Нет
Г.Риккерт подвергает критике теорию познания как отражения.,Да
"Кант отталкивается от мысли Бенжамена Констана, утверждавшего, что правду следует говорить всем при любых обстоятельствах.",Нет
"Один из вопросов, который ставит Кант, таков: можно ли лгать, если мы не можем уклониться от ответа",Да
"С точки зрения Канта, принимая решение о том, солгать или нет, я должен помнить о том вреде, который может нанести моя ложь конкретному человеку",Нет
"И.Кант занимает такую крайнюю позицию по отношению ко лжи, согласно которой она никогда не может быть оправдана.",Да
Порядок человеческого бытия носит общественный характер и представляет собой систему...,взаимодействий между людьми
Во взаимодействии человека с другими людьми формируются:,"сознание, речь, трудовые навыки"
"Социальный номинализм предполагает, что общество является:","том, что деятельность человека никогда не бывает индивидуальной"
"В список базовых общих потребностей, благодаря которым жизнь людей актуализируется в виде различных форм совместной деятельности, не входит потребность в...",самореализации
В сферы общественной жизни входят:,"все, кроме творческой (экономическая; творческая; духовная; все, кроме экономической; все, кроме духовной)"
"Социальное расслоение возникает после того как появились излишки продукта, присваиваемые некоторыми общинниками. Это зависело от...",совершенствования технологий производства
Политическая сфера может быть оформлена только когда,возникла необходимость разрешения социально-стратовых противоречий
"Духовный опыт человека может определять идейно-смысловое, ценностное единство общества, благодаря которому экономические, социальные и политические различия...",примиряются
"По мнению автора, духовный опыт помогает раскрыть представления об основных идеалах, имеющих...",универсальную значимость для общества
Социальный институт – это,"все вышеперечисленное (универсальная форма отношений между людьми, составляющая структуру общества, механизм воспроизводства и поддержания социальных отношений; совокупность норм и правил, закрепленная в традициях; способ взаимоотношений людей, основанный на следовании культурным правилам)"
"Аристотель утверждал, что семья – это","общение, естественным путем возникшее для удовлетворения повседневных надобностей"
Первым семью в экономическом и индивидуалистическом понимании истолковал:,Дж. Локк
Частная индивидуальная собственность получила распространение начиная с...,XVIII века
Собственность – это исторически сложившиеся отношения между людьми но поводу...,присвоения и отчуждения жизненных благ
Роль государства – обеспечение...,безопасности и устойчивости общества
"Непременным условием устойчивости, и безопасности общества является:","согласование интересов множества групп, различных по роду деятельности, ценностям, образу жизни"
"Государство – сила, удерживающая людей от худших их проявлений. Так считал:",никто из вышеперечисленных (С.Франк; В. Соловьев; К. Маркс)
Впервые церковь институализируется во времена:,упадка Римской империи
"Решающим фактором, который определяет уникальность является:","преображающая сила народного духа социокультурного организма,"
Существует следующая стратификационная система:,все вышеперечисленное (кастовая; рабовладельческая; классовая)
"Договор, согласно Т. Гоббсу, считается нарушенным, если:","имеет место несправедливость, т.е. невыполнение его условий"
"Согласно Т.Гоббсу, определение справедливости, данное схоластами, гласит, что она является:",волей дать каждому его собственность
"По Т.Гоббсу, началом справедливости служит соглашение. А началом благодарности?",милость
"Согласно Ж.-Ж.Руссо, люди могли получить понятие о взаимных обязательствах только тогда, когда:",человек научился объединяться с одними и остерегаться других людей
"Ж.-Ж.Руссо утверждает, что древние люди сами «надели ярмо» на себя и своихпотомков, доставляя себе разнообразные удобства,...:",которые стало мучительно потерять
"Ж.-Ж.Руссо говорит, что не может быть причинен ущерб там, где отсутствует собственность, и называет это:",аксиомой Локка
"Ж.-Ж.Руссо считает, что равенство исчезло, и появилась собственность только тогда, когда:",один человек стал нуждаться в помощи другого
"В число важнейших аспектов существования семьи, по Гегелю, входят:",все вышеперечисленное (собственность и имущество семьи; воспитание детей и их последующий уход из семьи; брак как таковой)
"Гегель считает, что исходным пунктом брака является свободное согласие лиц составить одно лицо (семью), при этом:",теряется единичная личность каждого
"Гегель считает, что женщина может быть образованной, однако:","она не способна обладать идеальным, не способна воспринимать философию и некоторые высшие науки"
Ф.Энгельс приводит пример «родового» строя. Это:,индейцы Америки
"Согласно Ф.Энгельсу, потребность в деньгах возникает тогда, когда:","появляется товар, посредством которого оценивались все другие"
"Энгельс пишет, что первым возникшим классом, который появился с возникновением цивилизации, и не был напрямую связан с производством, был:",класс купцов
"По Ф.Энгельсу, налоги возникают там, где, в силу раскола общества на классы, необходимо:",обеспечивать публичную власть
"Х. Ортега-и-Гассет полагает, что нет вечных истин, потому что понимание истин меняется в ходе развития человечества.",Нет
"Согласно Х. Ортега-и-Гассету, истинные законы мира никак не связано со временем,эпохами человеческой истории.",Да
"По Х. Ортега-и-Гассету, философия, как и все остальные науки, исследует то, что в самом общем смысле известно.",Нет
"Х. Ортега-и-Гассет полагал, что надёжность экспериментально полученных знаний позволяет науке решать серьёзные смысложизненные вопросы.",Нет
"Согласно Х. Ортега-и-Гассету, европейскую науку в определенном смысле можно рассматривать как разновидность мифа",Да
"Слова «этика», «мораль» и «нравственность» имеют совершенно разные значения и не могут использоваться взаимозаменяемо.",Нет
"Единственным адекватным аргументом против золотого правила нравственности является то, что тогда человек, которому нравится испытывать страдания, будет считать допустимым причинять их другим.",Нет
Категория зла связана с идеей совершенствования человека.,Да
"Согласно Аристотелю, человек – разумное существо, поэтому у него не может быть характеристик, общих с животными.",Нет
"В этике Аристотеля такие качества, как рассудительность и мудрость, тоже относятся к добродетелям.",Да
Кантовское понимание автономии человека как нравственного существа значит способность самому предписывать себе моральный закон.,Да
"Дж.Э. Мур бросил истории этики обвинение в «натуралистической ошибке» и тем самым упрекнул ее в ненаучности и бессмысленности. Под «натуралистической ошибкой» понимается убеждение, что нравственность должна происходить из природы человека.",Нет
У Н. Лумана постановка вопроса о производстве мира посредством масс медиа связано с проблемой возникновения особого типа общества.,Да
"Н.Луман утверждает, что особенностью масс-медиа выступает четкое различение фактологического и нормативного (морального) описания, что отражается, например, на журналистской этике.",Нет
"Н.Луман полагает, что различие содержания и метода сообщения поможет раскрыть манипуляции с информацией.",Нет
"Луман указывает на то, что особенность подачи информации в новостях в том, что они все время производят проблемы и острые вопросы.",Да
"Н.Луман делает вывод, что ценности солидарности, мира и сотрудничества – вот что вечно и не зависит от методов передачи информации.",Нет
"Для современной культуры, приходит к выводу Н.Луман, характерно внимание не только к правдоподобности, истинности или ложности информации, но также к тому, кто ее передает.",Да
"Н.Луман утверждает, что, несмотря на повсеместное развитие культуры масс-медиа, основные понятия о свободе остаются неизменными.",Да
К области эстетики относится вопрос:,является ли красота свойством самой вещи или объективно прекрасного или безобразного не существует?
Античное представление о гармонии подразумевало,"совершенное соотношение, соразмерность частей предмета и всего мироздания"
"Понятие о гармонии вещи исходит из предпосылки, что",вещи могут иметь объективные эстетические свойства
"Точка зрения, согласно которой красота – не свойство предмета, а определенноеотношение к нему, связано с такой категорией, как",вкус
"Основное произведение И. Канта, посвященное эстетике и философии искусства (в современном их понимании) является:",«Критика способности суждения»
"С точки зрения И. Канта, суть эстетического отношения к предмету в",нашей в нем незаинтересованности
"Эстетический опыт ближе всего к такому типу опыта, как",опыт любви
Какое из перечисленных качеств характерно для эстетического опыта?,уникальность переживаний
Какое из данных суждений справедливо относительно эстетического опыта?,"для эстетического опыта не требуется, чтобы чувственные данные были представлены в полном виде и были соотносимым с тем или иным реальным объектом"
Каково соотношение эстетического опыта и художественного опыта?,художественный опыт – разновидность эстетического
"Утверждение, что для эстетического опыта важна форма воспринимаемых нами чувственных данных, значит:","эстетический опыт образуется тогда, когда внимание обращается к тому, как представлены нам те или иные чувственные данные"
"Наиболее важными направлениями в современной эстетике, исследующим структуру эстетического опыта, являются:",обе эти традиции (аналитическая философия; феноменология; ни одна из них)
"Представителем эстетики XX в., утверждавшим, что для эстетического опыта характерны интенсивность, внутренняя согласованность и стремление к завершенности, был",М.Бердсли
"Основанием для эстетического опыта являются чувственные объективные ощущения. Однако, как указывал, например, М.Бердсли их одних недостаточно, они должны дополняться:",субъективным переживанием
"Р.Ингарден утверждает, что эстетический опыт начинается со своеобразного игнорирования вопроса о реальности предметов. Это делается философом для того, чтобы:",отличить эстетическое отношение к предмету от познавательного
Какое суждение о строении эстетического опыта верно?,эстетический опыт является сложным процессом с характерным для него строением
"Эстетическая реакция, реакция на эстетический опыт может принимать:",вербальные и невербальные формы
"Эстетические реакции, выраженные в форме восклицаний «Ах!» и «Это прекрасно!» с точки зрения содержания отличаются тем, что:","одна из них содержит слова, термины, давно ставшие эстетическими категориями («прекрасное»), а другая – нет"
Какое из перечисленных свойств не принадлежит эстетическим категориям?,идея причинно-следственной связи между явлениями
Какая эстетическая категория может считаться основной?,«прекрасное»
Сколько фаз эстетического опыта выделял Роман Ингарден?,5
"Какова, по Р. Ингардену, роль реального предмета для эстетического переживания?",эстетическое переживание иногда начинается c наблюдения реального предмета
"Р. Ингарден считал, что","оба ответа верные (реальность объекта не является необходимой для процесса эстетического переживания; реальность объекта не является причиной того, что в эстетическом переживании нам что-то нравится или не нравится; оба ответа неверные)"
"Согласно Р. Ингардену, для эстетического восприятия",допустимо придумывать отсутствующие у объекта качества
"Согласно И.Канту, говоря, что предмет красив, мы, на самом деле:",говорим о субъекте и его чувстве удовольствия
"И.Кант утверждает, что для того, чтобы считать нечто прекрасным, нам требуется","ничто из перечисленного выше (знать, средством для чего может быть этот предмет; знать, каким должен быть данный предмет в идеале; понимать причины, вызвавшие возникновение данного предмета)"
"Согласно И.Канту, существует три вида заинтересованного отношения человека к вещи. Какое из них он называет наиболее свободным?","прекрасное; то, что просто нравится"
И.Кант формулирует следующее определение прекрасного:,"вещь, о которой мы судим без всякого интереса"
К первому виду «перепадов» в развитии идеи Красоты в массмедиа У.Эко относит:,разнообразие соседствующих моделей красоты в каждый период
"Согласно У. Эко, в 20-30-ее годы отношение массмедиа к идеалам Красоты характеризуется:","заимствованием идеалов, поставляемых элитарным искусством"
"Элементы ритуальности, мистериальности У. Эко видит в",во всем вышеперечисленном (хеппенингах; дискотеках; рок-концертах)
"Единственным направлением авангардного искусства, которое наследует идее геометрической гармонии, У.Эко называет:",абстрактное искусство
Элементом эстетического сознания является:,все вышеперечисленное (эстетические эмоции и переживания; эстетические суждения; эстетическое наслаждение)
Господство рационализма и прагматизма в современной эстетике связано:,с рационализмом и герменевтическим дискурсом кураторов и искусствоведов
