"«Благо», «справедливость», «добродетель» являются категориями такой философской науки, как:",этика
Какие из перечисленных авторов не создавали труд по философии истории?,С. Кьеркегор +
Увлеченность идеей прогресса объясняется оптимистической верой в могущество и нравственные основания человеческого разума. Вследствие чего эта вера была подорвана окончательно?,Вследствие кровавых событий первой половины ХХ столетия +
Что является двигателем буржуазного типа цивилизации,Классовый конфликт + 31
Нынешняя стадия капитализма в качестве основного объекта своего внимания рассматривает человеческий ресурс в полноте его бытия и жизни. В философии такой историко-политический феномен получил название,биополитика+11
"Понятие ""культура"" первоначально относилось к яызку древнеримских",земледельцев +
Понятие экология было предложено,Геккель +
Какой тип цивилизации по Тоффлеру относится ко второй волне?,индустриальный+
С именем Сэмюэля Хантингтона связывается,"понятие ""Столкновение цивилизаций""+"
"Учение о будущем, прогнозирование дальнейшего развития технологий и цивилизационных процессов называется",Футурология
"Область знания, которая выявляет онтологические и гносеологические основы религии, определяет содержание ... функции, роль, которую она играет в истории и в жизни отдельного человека, называется",философия религии +
Какому представителю русского религиозного ренессанса принадлежит учение о наступлении царства Софии Премудрости Божией?,"Соловьев 19 Основная идея философии Соловьева – идея всеединства основой всеединства у Соловьева выступает божественная троица в ее связи со всеми божественными творениями и, главное, с человеком. Основной принцип всеединства: «Все едино в боге»"
"С именем какого философа связывается известный ""тетрафармакон"" (""четырех лекарствие"") ""Бог не внушает страха; смерть не внушает опасения; благо легко достижимо; зло легко претерпеваемо""",Эпикур +
"Кто поставил задачей своей филдософии выявить антропологические и психологические основания религии, сведя ... к антропологической сущности человека?",Фейербах +27
"Кто из перечисленных философов не относится к такому направлению в истории мысли, как психоанализ?",Все+
В соответствии с деистическими представлениями Бог,Запустил мировую машину и не вмешивается+
Творцом системы абсолютного идеализма является,Г.В.Ф.Гегель+21
"Учение Р. Декарта о двух субстанциях, протяженной и мыслящей, называется",Дуализмом +
Выберите правильное суждение.,Концепция 14единой мировой истории-порождение христианства.
"Какое понятие К. Ясперс предложил для обозначения периода в истории человечества, во время кото мировоззрению пришло рациональное, философское, сформировавшее тот тип человека, который суш",Осевое время +7
Лесли Уайт жил в,20в+23
какому понятию чаще противопоставляется понятие культуры? природа/личность/мудрость/закон,природа +30
Концепция обосновывающая основания других концепций,метанарратив +1
Кто из перечисленных философов является представителем игровой концепции в культурологии?,Й. Хейзинг + 29
Центральным понятием в философии Й.Хейзинги является,Игра+28
Представителем какой эпохи является немецкий мыслитель и богослов Гердер?,Просвещение+
"Кто является автором трактата ""Идеи к философии истории человечества""?",И.Г.Гердер+16
"Какому философу принадлежит концепция *
Открытого произведения*?",У. Эко +
"Какого слова не хватает в названии книги знаменитого итальянского философа У. Эко ""______",Открытое произведение +
что не является ключевым в определении игры Хейзинги?,Игровое действие должно нравится хотя бы одному участнику игры +
"Игровая концепция в культурологии утверждает, что:",Культура возникла из игры+
"Как относился к массовой культуре один из родоначальников этой концепции,испанский культуролог Х.Ортега-и-Гассет?","культ невежества человека-массы, его стремление к комфорту и спокойствию, отказ от мысли и желание делегировать свои права государству привели к появлению в XX веке тоталитарных режимов +"
Кто из философов является основателем массовой культуры?,Х. Ортега-и-Гассет +10
Какой термин или концепт ввел французский философ Ж.Ф.Лиотар в науки о культуре?,Постмодерн +25
"К какому временному периоду относится термин ""постмодерн""?",20 век
Как называется одна из самых известных книг испанского культуролога Х Ортеги-иГассета,Восстание Масс +
Когда с точки зрения Х. Ортеги-и-Гассета появилась массовая культура,В начале XX века +
Какой философ ввёл термин симулякр,Бодрийяр +
Немецкий культуролог О. Шпенглер написал книгу,Закат Европы +
Изображение без оригинала,Симулякр +3
что относится к признакам игрового действия,"все перечисленные (игровое действие должно быть ограничено во времени и
пространстве; игра устанавливает строгий порядок, она сама есть порядок; игра
тяготеет к созданию атмосферы таинственности) +"
к характеристикам человека массы не относится,жажда знаний +
Шпенглер связывал цивилизацию с,комф.застоем +34
Цивилизация предполагает такой уровень развития общества для которой характерны,Наличие развитой технологии
Что считал предпосылкой формирования цивилизации американский культуролог Сэмюэль Хантингтон,все вышеперечисленноем26
Антрополог и культуролог Лесли Уайт считается родоначальником:,Энергетической концепции культуры +
Что не включает в себя экология,стремление к комфорту+
Концепция Третьей волны принадлежит,Э.Тоффлер +
В концепции Э.Тоффлера вторая волна-это результат:,индустриальной революции + 36
В концепции Э. Тоффлера третья волна - это результат,интеллектуальной революции+
